dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
1,4.315,4.323,0,0,0,0,0,0,87,36,0.148372
2,4.315,4.323,0,0,0,0,0,0,24,11,1.27295
0,4.323,4.325,0,0,0,0,0,0,130,92,0.149479
1,4.323,4.325,0,0,0,0,0,0,89,38,0.149168
2,4.323,4.325,0,0,0,0,0,0,24,11,1.27295
0,4.325,4.327,0,0,0,0,0,0,130,91,0.148735
1,4.325,4.327,0,0,0,0,0,0,91,40,0.149482
2,4.325,4.327,0,0,0,0,0,0,24,11,1.27295
0,4.327,4.328,0,0,0,0,0,0,130,91,0.23489
1,4.327,4.328,0,0,0,0,0,0,93,41,0.148733
2,4.327,4.328,0,0,0,0,0,0,24,11,1.27295
0,4.328,4.334,0,0,0,0,0,0,130,91,0.235438
1,4.328,4.334,0,0,0,0,0,0,94,42,0.23489
2,4.328,4.334,0,0,0,0,0,0,24,11,1.27295
0,4.334,4.337,0,0,0,0,0,0,130,91,0.242922
1,4.334,4.337,0,0,0,0,0,0,96,44,0.235438
2,4.334,4.337,0,0,0,0,0,0,24,11,1.27295
0,4.337,4.344,0,0,0,0,0,0,130,91,0.242926
1,4.337,4.344,0,0,0,0,0,0,98,46,0.242922
2,4.337,4.344,0,0,0,0,0,0,24,11,1.27295
0,4.344,4.345,0,0,0,0,0,0,130,91,0.252053
1,4.344,4.345,0,0,0,0,0,0,99,47,0.242926
2,4.344,4.345,0,0,0,0,0,0,24,11,1.27295
0,4.345,4.358,0,0,0,0,0,0,130,91,0.253999
1,4.345,4.358,0,0,0,0,0,0,101,49,0.252052
2,4.345,4.358,0,0,0,0,0,0,24,11,1.27295
0,4.358,4.364,0,0,0,0,0,0,130,90,0.219268
1,4.358,4.364,0,0,0,0,0,0,102,50,0.253997
2,4.358,4.364,0,0,0,0,0,0,24,11,1.27295
0,4.364,4.377,0,0,0,0,0,0,130,90,0.220836
1,4.364,4.377,0,0,0,0,0,0,103,50,0.219268
2,4.364,4.377,0,0,0,0,0,0,24,11,1.27295
0,4.377,4.386,0,0,0,0,0,0,130,90,0.239613
1,4.377,4.386,0,0,0,0,0,0,105,51,0.220835
2,4.377,4.386,0,0,0,0,0,0,24,11,1.27295
0,4.386,4.398,0,0,0,0,0,0,130,90,0.253922
1,4.386,4.398,0,0,0,0,0,0,107,50,0.239615
